page,page_title,active_visitors
portal.hud.gov/hudportal/hud?src=/topics/limited_denials_of_participation,Limited Denials of Participation/U.S. Department of Housing and Urban Development (HUD),16
regulations.gov/,Regulations.gov - Search Results,16
sam.gov/https://www.sam.gov/portal/sam/?portal:componentid=06f420ca-06cd-41db-b94f-90fabad2270d&interactionstate=jbpns_ro0abxcwabbfannmqnjpzgdlvmlld0lkaaaaaqapl2pzzi9mb290zxiuannwaadfx0vprl9f&portal:type=action,System for Award Management,16
secure.rrb.gov/,United States Railroad Retirement Board Home Page,16
socialsecurity.gov/medicare/,Medicare Benefits,16
socialsecurity.gov/myaccount/lp/landing-page-iclaim-save.html,Manage Your Benefits With A my Social Security Account,16
socialsecurity.gov/ssnumber/ss5doc.htm,Learn what documents you need to get a Social Security Card,16
ssa.gov/planners/survivors/survivorchartred.html,Survivors Planner: Social Security Benefit Amounts For The Surviving Spouse By Year Of Birth,16
studentaid.ed.gov/sa/resources,Resources | Federal Student Aid,16
travel.state.gov/content/visas/en/immigrate/immigrant-process/approved/step_2_pay_fees.html,Pay Fees,16
travel.state.gov/content/visas/en/immigrate/immigrant-process/documents/submit_visa_application.html,Submit Visa Application Form,16
usajobs.gov/applicant/profile/personalinformation,USAJOBS - Profile - Personal Information,16
uscis.gov/file-online/uscis-immigrant-fee,USCIS Immigrant Fee | USCIS,16
uscis.gov/i-129f,Petition for Alien FiancÃ©(e) | USCIS,16
uscis.gov/i-140,Immigrant Petition for Alien Worker | USCIS,16
uscis.gov/n-600,Application for Certificate of Citizenship | USCIS,16
uspto.gov/patent/forms/forms-patent-applications-filed-or-after-september-16-2012,"Forms For Patent Applications Filed On Or After September 16, 2012 | USPTO",16
va.gov/statedva.htm,State Veterans Affairs Offices - U.S. Department of Veterans Affair,16
weather.gov/arx/,"La Crosse, WI",16
weather.gov/dlh/,"Duluth, MN",16
weather.gov/lsx/,"St. Louis, MO",16
weather.gov/unr/,"Rapid City, SD",16
wrh.noaa.gov/boi/,"National Weather Service - Boise, ID",16
acquisition.gov/,Federal Acquisition Regulation (FAR) | Acquisition.GOV,15
algiers.usembassy.gov/academic_exchanges.html,"Exchanges | Algiers, Algeria - Embassy of the United States",15
apps.irs.gov/app/picklist/list/formspublications.html?indexoffirstrow=350&sortcolumn=sortorder&value=&criteria=&resultsperpage=25&isdescending=false,Forms and Publications (PDF),15
apps.irs.gov/app/scripts/exit.jsp?dest=https://www.officialpayments.com/fed/index.jsp,IRS Disclaimer,15
benefits.va.gov/benefits/applying.asp,Applying for Benefits - Veterans Benefits Administration,15
benefits.va.gov/compensation/,Compensation Home,15
benefits.va.gov/compensation/rates-index.asp,Benefit Rates - Compensation,15
bls.gov/data/,"Databases, Tables & Calculators by Subject",15
bls.gov/ooh/healthcare/physicians-and-surgeons.htm,Physicians and Surgeons : Occupational Outlook Handbook: : U.S. Bureau of Labor Statistics,15
cdc.gov/media/releases/2016/s0315-zika-virus-travel.html,CDC issues interim travel guidance related to Zika virus for 14 Countries and Territories in Central and South America and the Caribbean | CDC Online Newsroom | CDC,15
cdc.gov/obesity/data/adult.html,Adult Obesity Facts | Data | Adult | Obesity | DNPAO | CDC,15
cdc.gov/std/syphilis/stdfact-syphilis.htm,STD Facts - Syphilis,15
cdc.gov/vaccines/hcp/vis/vis-statements/tdap.html,Vaccine Information Statement | Tdap | Tetanus-Diphtheria-Pertussis | VIS | CDC,15
cdc.gov/vaccines/schedules/hcp/child-adolescent.html,Birth-18 Years and Catchup Immunization Schedules for Providers | CDC,15
ceac.state.gov/genniv/common/sessiontimedout.aspx,Consular Electronic Application Center - Session Timed Out,15
ceac.state.gov/genniv/general/complete/complete_securityandbackground4.aspx?node=securityandbackground4,Nonimmigrant Visa - Security and Background: Part 4,15
ceac.state.gov/genniv/general/review/review_reviewworkeducation.aspx?node=reviewworkeducation,Nonimmigrant Visa - Review Work / Education Information,15
ceac.state.gov/ivapp/ivapp/complete/complete_personalcont.aspx?node=personal2,Immigrant Visa - Personal Information 2,15
ceac.state.gov/ivapp/ivapp/complete/complete_workeducation2.aspx?node=workeducation2,Immigrant Visa - Previous Work/Education/Training Information,15
choosemyplate.gov/myplate-daily-checklist-input/display,MyPlate Daily Checklist | Choose MyPlate,15
eauth.va.gov/ebenefits/claims,Claims Status - eBenefits,15
eauth.va.gov/wssweb/wss-claims-webparts/mvc/ebn/historicalclaimsummary,Historical Claims - Claim Status,15
egov.uscis.gov/casestatus/landing.do,myUSCIS - Busque el Estado de Caso,15
foodsafety.gov/blog/meatinrefrig.html,Meat in the Refrigerator: How Long Does It Last? | FoodSafety.gov,15
forecast.weather.gov/mapclick.php,7-Day Forecast for Latitude 40.57Â°N and Longitude 111.67Â°W (Elev. 9298 ft),15
forecast.weather.gov/mapclick.php,7-Day Forecast for Latitude 42.36Â°N and Longitude 71.07Â°W (Elev. 13 ft),15
forecast.weather.gov/mapclick.php,7-Day Forecast for Latitude 44.04Â°N and Longitude 123.1Â°W (Elev. 571 ft),15
fpds.gov/ezsearch/search.do?indexname=awardfull&templatename=1.4.4&s=fpdsng.com,FPDS-NG ezSearch,15
fpds.gov/fpdsng_cms/index.php/en/,Federal Procurement Data System - Next Generation,15
freshempire.betobaccofree.hhs.gov/the-latest/fresh-and-in-control/,Fresh and In Control - Fresh Empire,15
hhs.gov/healthcare/,Health Care | HHS.gov,15
hrsa.gov/loanscholarships/repayment/nursing/,Nurse Corps Loan Repayment Program,15
ic3.gov/complaint/default.aspx,Internet Crime Complaint Center (IC3) | File a Complaint,15
internal-prod-elis2.uscis.dhs.gov/internalapp/app/,USCIS - Adjudication - My Cases,15
irs.gov/affordable-care-act/individuals-and-families/gathering-your-health-coverage-documentation-for-the-tax-filing-season,Gathering Your Health Coverage Documentation,15
irs.gov/charities-&-non-profits/exempt-organizations-select-check,EO Select Check,15
irs.gov/individuals/retrieve-your-ip-pin,Retrieve Your Lost or Misplaced IP PIN,15
irs.gov/individuals/transcript-availability,Current Year Transcript Availability,15
irs.gov/publications/p544/ch03.html,"Publication 544 (2015), Sales and Other Dispositions of Assets",15
irs.gov/uac/contact-my-local-office-in-florida,Contact My Local Office in Florida,15
irs.gov/uac/contact-my-local-office-internationally,Contact My Local Office Internationally,15
"irs.gov/uac/form-8822,-change-of-address","Form 8822, Change of Address",15
irs.gov/uac/newsroom/irs-announces-2016-pension-plan-limitations,"IRS Announces 2016 Pension Plan Limitations; 401(k) Contribution Limit Remains Unchanged at $18,000 for 2016",15
irs.gov/uac/ten-facts-about-the-child-tax-credit,Ten Facts about the Child Tax Credit,15
irs.gov/uac/texas-where-to-file-addresses-for-taxpayers-and-tax-professionals,TEXAS - Where to File Addresses for Taxpayers and Tax Professionals,15
li-public.fmcsa.dot.gov/liview/pkg_registration.prc_option,Registration Options,15
myhealth.va.gov/mhv-portal-web/mhv.portal?_nfpb=true&_pagelabel=prescriptionshiso,My HealtheVet,15
myhealth.va.gov/mhv-portal-web/mhv.portal?_nfpb=true&_windowlabel=downloaddata&downloaddata_actionoverride=/gov/va/med/mhv/usermgmt/downloadyourdata/downloadselectionsreport&_pagelabel=downloaddata,My HealtheVet,15
nasa.gov/multimedia/imagegallery/index.html,NASA Images | NASA,15
nasa.gov/offices/oct/feature/how-a-nasa-team-turned-a-smartphone-into-a-satellite-business/,How a NASA Team Turned a Smartphone into a Satellite Business | NASA,15
nhsc.hrsa.gov/,Home - NHSC,15
niddk.nih.gov/health-information/health-topics/anatomy/your-digestive-system/pages/anatomy.aspx,Your Digestive System and How It Works | National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK),15
nlm.nih.gov/medlineplus/ency/article/003073.htm,Coughing up blood: MedlinePlus Medical Encyclopedia,15
nlm.nih.gov/medlineplus/ency/article/007504.htm,Abdominal pain - children under age 12: MedlinePlus Medical Encyclopedia,15
nlm.nih.gov/medlineplus/news/fullstory_157281.html,Cholesterol in Eggs May Not Hurt Heart Health: Study: MedlinePlus,15
nlm.nih.gov/medlineplus/spanish/druginfo/meds/a681045-es.html,Aciclovir: MedlinePlus medicinas,15
nlm.nih.gov/medlineplus/spanish/druginfo/meds/a688016-es.html,Ciprofloxacina: MedlinePlus medicinas,15
nlm.nih.gov/medlineplus/spanish/ency/article/000386.htm,Bajo nivel de azÃºcar en la sangre: MedlinePlus enciclopedia mÃ©dica,15
nlm.nih.gov/medlineplus/spanish/ency/article/000433.htm,SÃ_ndrome del tÃºnel carpiano: MedlinePlus enciclopedia mÃ©dica,15
nlm.nih.gov/medlineplus/spanish/ency/article/000458.htm,CÃ¡lculos renales: MedlinePlus enciclopedia mÃ©dica,15
nlm.nih.gov/medlineplus/spanish/ency/article/000560.htm,Anemia: MedlinePlus enciclopedia mÃ©dica,15
nlm.nih.gov/medlineplus/spanish/ency/article/003206.htm,Entumecimiento y hormigueo: MedlinePlus enciclopedia mÃ©dica,15
nps.gov/grca/planyourvisit/havasupai.htm,Havasupai Indian Reservation - Grand Canyon National Park (U.S. National Park Service),15
nps.gov/yose/planyourvisit/camping.htm,Campground Reservations - Yosemite National Park (U.S. National Park Service),15
nsf.gov/,NSF - National Science Foundation,15
opm.gov/forms/standard-forms/,Standard Forms,15
petitions.whitehouse.gov/thank-you/2208866,Thank You | We the People: Your Voice in Our Government,15
portal.hud.gov/hudportal/hud?src=/topics/buying_a_home,Buying a Home/U.S. Department of Housing and Urban Development (HUD),15
search.irs.gov/search?output=xml_no_dtd&proxystylesheet=irs_portals_frontend&client=irs_portals_frontend&oe=utf-8&ie=utf-8&num=10&ud=1&exclude_apps=1&site=default_collection&numgm=5&requiredfields=-archive:1,Search Results: 1040,15
sm.myhealth.va.gov/mhv-sm-web/closemessage.action,My HealtheVet - Secure Messaging - Inbox,15
solarsystem.nasa.gov/planets/,Planets - NASA Solar System Exploration,15
solarsystem.nasa.gov/planets/mercury,Mercury - Overview | Planets - NASA Solar System Exploration,15
ssa.gov/disability/,Benefits for People with Disabilities,15
ssa.gov/planners/retire/divspouse.html,Retirement Planner: If You Are Divorced,15
ssa.gov/retire/,Social Security Retirement Benefits - Online Application Information,15
studentaid.ed.gov/sa/repay-loans/default/get-out,Getting out of Default | Federal Student Aid,15
studentaid.ed.gov/sa/repay-loans/understand/servicers,Loan Servicers | Federal Student Aid,15
studentaid.ed.gov/sa/types/grants-scholarships,Grants and Scholarships | Federal Student Aid,15
travel.state.gov/content/visas/en/general/all-visa-categories.html,Directory of Visa Categories,15
travel.state.gov/content/visas/en/immigrate/immigrant-process/documents/submit_documents.html,Submit Documents to the NVC,15
treasurydirect.gov/indiv/help/bc/bc_savings_help.htm,Individual - Savings Bonds Calculator Inventory Instructions,15
usa.gov/post-office,Change Your Address and Other U.S. Post Office Services | USA.gov,15
usahire.opm.gov/assess/default/sample/sample.action,USA Hire,15
uscis.gov/ar-11,Change of Address | USCIS,15
uscis.gov/g-28,Notice of Entry of Appearance as Attorney or Accredited Representative | USCIS,15
water.usgs.gov/edu/sinkholes.html,"Sinkholes, from USGS Water-Science School",15
weather.gov/dvn/,"Quad Cities, IA/IL",15
whitehouse.gov/administration/cabinet,The Cabinet | whitehouse.gov,15
whitehouse.gov/blog,The White House Blog | whitehouse.gov,15
wrh.noaa.gov/pih/,National Weather Service - NWS Pocatello,15
wrh.noaa.gov/satellite/?wfo=sto,National Weather Service - NWS Sacramento,15
wrh.noaa.gov/twc/,National Weather Service - NWS Tucson,15
apps.irs.gov/app/picklist/list/formspublications.html?indexoffirstrow=25&sortcolumn=sortorder&value=&criteria=&resultsperpage=25&isdescending=false,Forms and Publications (PDF),14
apps.irs.gov/app/picklist/list/formspublications.html?value=schedule+a&criteria=formnumber&submitsearch=find,Forms and Publications (PDF),14
apps.irs.gov/app/scripts/exit.jsp?dest=http://www.eztaxreturn.com/alliance2016,IRS Disclaimer,14
benefits.va.gov/gibill/post911_gibill.asp,Post-9/11 GI Bill - Education and Training,14
benefits.va.gov/homeloans/purchaseco_eligibility.asp,Eligibility - Home Loans,14
benefits.va.gov/homeloans/purchaseco_loan_limits.asp,Loan Limits - Home Loans,14
bop.gov/,BOP: Federal Bureau of Prisons Web Site,14
catalog.usmint.gov/on/demandware.store/sites-usm-site/default/cart-show,The United States Mint Cart,14
cdc.gov/actagainstaids/campaigns/hivtreatmentworks/index.html,HIV Treatment Works | Campaigns | Act Against AIDS | CDC,14
cdc.gov/co/faqs.htm,CDC - Carbon Monoxide Poisoning - Frequently Asked Questions,14
cdc.gov/norovirus/about/overview.html,Norovirus | Overview | CDC,14
cdc.gov/parvovirusb19/fifth-disease.html,Parvovirus B19 | About Fifth Disease | CDC,14
cdc.gov/shingles/about/transmission.html,Shingles | Transmission - How Spreads | Herpes Zoster | CDC,14
cdc.gov/vaccines/ed/youcalltheshots.htm,Vaccines: Ed/You Call the Shots,14
ceac.state.gov/genniv/general/photo/photo_confirmphoto.aspx?node=confirmphoto&save=,Nonimmigrant Visa - Confirm Photo,14
ceac.state.gov/ivapp/ivapp/esign/complete_done.aspx?node=done,Immigrant Visa and Alien Registration - Confirmation Page,14
climate.nasa.gov/causes/,Climate Change: Vital Signs of the Planet: Causes,14
climate.nasa.gov/evidence/,Climate Change: Vital Signs of the Planet: Evidence,14
commerce.gov/,Department of Commerce,14
cpars.cpars.gov/cpars/app/evaluation_refresh.action,CPARS/FAPIIS,14
dea.gov/index.shtml,DEA.gov / Home,14
dhs.gov/real-id-public-faqs,Real ID Public FAQs | Homeland Security,14
doi.gov/doilearn,DOI Learn | U.S. Department of the Interior,14
earthquake.usgs.gov/earthquakes/map/,"1 Day, All Magnitudes Worldwide",14
fda.gov/food/recallsoutbreaksemergencies/outbreaks/ucm470410.htm,Outbreaks > FDA Investigates Multistate Outbreak of E. coli O26 Infections Linked to Chipotle Mexican Grill Restaurants,14
ferc.gov/,Federal Energy Regulatory Commission,14
forecast.weather.gov/mapclick.php,7-Day Forecast for Latitude 38.64Â°N and Longitude 90.23Â°W (Elev. 538 ft),14
forecast.weather.gov/mapclick.php,7-Day Forecast for Latitude 40.71Â°N and Longitude 74.01Â°W (Elev. 7 ft),14
forecast.weather.gov/mapclick.php,7-Day Forecast for Latitude 44.95Â°N and Longitude 93.1Â°W (Elev. 810 ft),14
gsaadvantage.gov/advantage/s/search.do?searchtype=0&db=0,Search Results,14
ice.gov/,ICE,14
irs.gov/affordable-care-act/individuals-and-families/aca-individual-shared-responsibility-provision-exemptions,Individual Shared Responsibility Provision â€“ Exemptions: Claiming or Reporting,14
irs.gov/businesses/online-ordering-for-information-returns-and-employer-returns,Online Ordering for Information Returns and Employer Returns,14
irs.gov/businesses/small-businesses-&-self-employed/self-employed-individuals-tax-center,Self-Employed Individuals Tax Center,14
irs.gov/businesses/small-businesses-&-self-employed/self-employment-tax-social-security-and-medicare-taxes,Self-Employment Tax (Social Security and Medicare Taxes),14
irs.gov/forms-&-pubs/order-products,Order Products,14
"irs.gov/help-&-resources/tools-&-faqs/faqs-for-individuals/frequently-asked-tax-questions-&-answers/interest,-dividends,-other-types-of-income/1099-misc,-independent-contractors,-and-self-employed/1099-misc,-independent-contractors,-and-self-employed-1","1099-MISC, Independent Contractors, and Self-Employed",14
irs.gov/individuals/employees,Tax Information for Employees,14
irs.gov/instructions/i1099msc/ar02.html,Instructions for Form 1099-MISC (2016),14
irs.gov/publications/p17/ch02.html,"Publication 17 (2015), Your Federal Income Tax",14
irs.gov/publications/p529/ar02.html,"Publication 529 (2015), Miscellaneous Deductions",14
irs.gov/retirement-plans/retirement-plans-faqs-regarding-required-minimum-distributions,Retirement Plan and IRA Required Minimum Distributions FAQs,14
irs.gov/taxtopics/tc308.html,Tax Topics - Topic 308 Amended Returns,14
irs.gov/taxtopics/tc352.html,"Tax Topics - Topic 352 Which Form â€“ 1040, 1040A, or 1040EZ?",14
irs.gov/uac/about-form-1099,General Instructions for Certain Information Returns,14
irs.gov/uac/about-schedule-b-form-1040,"Schedule B (Form 1040A or 1040), Interest and Ordinary Dividends",14
irs.gov/uac/california-where-to-file-addresses-for-taxpayers-and-tax-professionals,CALIFORNIA - Where to File Addresses for Taxpayers and Tax Professionals,14
irs.gov/uac/contact-my-local-office-in-georgia,Contact My Local Office in Georgia,14
"irs.gov/uac/form-8379,--injured-spouse-allocation","Form 8379, Injured Spouse Allocation",14
irs.gov/uac/newsroom/2016-tax-season-opens-jan-19-for-nations-taxpayers,2016 Tax Season Opens Jan. 19 for Nationâ€™s Taxpayers,14
irs.gov/uac/recent-development-2015-12-29-2015-forms-1095b-1094b-1095c-and-1094c,"New Due Dates for Filing Forms 1095-B, 1094-B, 1095-C and 1094-C -- 29-DEC-2015",14
"irs.gov/uac/schedule-d-(form-1040),-capital-gains-and-losses","Schedule D (Form 1040), Capital Gains and Losses",14
irs.gov/uac/who-can-i-claim-as-a-dependent,Who Can I Claim as a Dependent?,14
li-public.fmcsa.dot.gov/liview/pkg_form_cc.prc_cc_edit,Credit Card Page,14
myhealthevet.va.gov/mhv-portal-web/mhv.portal?_nfpb=true&_nfto=false&_pagelabel=securemessagingpage,My HealtheVet,14
niddk.nih.gov/health-information/health-topics/diagnostic-tests/a1c-test-diabetes/pages/index.aspx,The A1C Test and Diabetes | National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK),14
nlm.nih.gov/medlineplus/spanish/druginfo/meds/a601106-es.html,Ranitidina: MedlinePlus medicinas,14
nlm.nih.gov/medlineplus/spanish/druginfo/meds/a685027-es.html,Pentoxifilina: MedlinePlus medicinas,14
nlm.nih.gov/medlineplus/spanish/druginfo/meds/a693001-es.html,Ketorolaco: MedlinePlus medicinas,14
nlm.nih.gov/medlineplus/spanish/ecoliinfections.html,Infecciones por Escherichia coli: MedlinePlus en espaÃ±ol,14
nlm.nih.gov/medlineplus/spanish/ency/article/000077.htm,Tuberculosis pulmonar: MedlinePlus enciclopedia mÃ©dica,14
nlm.nih.gov/medlineplus/spanish/ency/article/000737.htm,Esclerosis mÃºltiple: MedlinePlus enciclopedia mÃ©dica,14
nlm.nih.gov/medlineplus/spanish/ency/article/001087.htm,Bronquitis aguda: MedlinePlus enciclopedia mÃ©dica,14
nlm.nih.gov/medlineplus/spanish/ency/article/001154.htm,Hepatitis: MedlinePlus enciclopedia mÃ©dica,14
nlm.nih.gov/medlineplus/spanish/ency/article/001332.htm,Fiebre tifoidea: MedlinePlus enciclopedia mÃ©dica,14
nlm.nih.gov/medlineplus/spanish/ency/article/002432.htm,Alimentos transgÃ©nicos: MedlinePlus enciclopedia mÃ©dica,14
nlm.nih.gov/medlineplus/spanish/ency/article/003187.htm,Dolor de rodilla: MedlinePlus enciclopedia mÃ©dica,14
nlm.nih.gov/medlineplus/spanish/ency/article/003356.htm,ProteÃ_na C reactiva: MedlinePlus enciclopedia mÃ©dica,14
nlm.nih.gov/medlineplus/spanish/ency/article/003479.htm,Examen de bilirrubina en sangre: MedlinePlus enciclopedia mÃ©dica,14
nlm.nih.gov/medlineplus/spanish/ency/article/003647.htm,Conteo de plaquetas: MedlinePlus enciclopedia mÃ©dica,14
nps.gov/findapark/passes.htm,America the Beautiful (U.S. National Park Service),14
nps.gov/maps/embed.html?mapid=f0cc55f0-99a6-4be4-a4d8-b9cbdb5931db,State Pages,14
oig.hhs.gov/fraud/medicaid-fraud-control-units-mfcu/maps/interactive-map2015.asp,2015 Interactive Map of Expenditures | MFCU | Office of Inspector General | U.S. Department of Health and Human Services,14
pafg.arh.noaa.gov/,"National Weather Service, Fairbanks Forecast Office, AK",14
petitions.whitehouse.gov/petitions,Popular Petitions | We the People: Your Voice in Our Government,14
portal.hud.gov/hudportal/hud?src=/program_offices/administration/hudclips/handbooks/hsgh,Housing Handbooks,14
realestatesales.gov/gsaauctions/aucdsclnk?sl=peach416004001,"GSA Auctions, General Services Administration, Government Site for Auctions",14
socialsecurity.gov/employer/,Employer W-2 Filing Instructions & Information,14
socialsecurity.gov/employer/bsohbnew.htm,Electronic W-2 Filing User Handbook,14
solarsystem.nasa.gov/planets/jupiter,Jupiter - Overview | Planets - NASA Solar System Exploration,14
ssa.gov/oact/babynames/,Popular Baby Names,14
ssa.gov/oact/population/longevity.html,Retirement & Survivors Benefits: Life Expectancy Calculator,14
ssa.gov/planners/retire/ageincrease.html,Retirement Age Calculator,14
state.gov/misc/415.htm,Privacy Policy,14
studentaid.ed.gov/sa/fafsa/filling-out/school-list,Listing Colleges on the FAFSA | Federal Student Aid,14
teas.uspto.gov/esu/teas.service,Request for Extension of Time to File a Statement of Use,14
travel.state.gov/content/visas/en/employment/temporary.html,Temporary Worker Visa,14
travel.state.gov/content/visas/en/immigrate/immigrant-process/interview/prepare.html,Prepare for the Interview,14
treasurydirect.gov/survey.htm,Individual,14
usa.gov/replace-vital-documents,Replace Your Vital Records | USA.gov,14
usajobs.gov/applicant/application/applystart/423817000,USAJOBS- Apply Online,14
usajobs.gov/applicant/resume/uploadsecureresume,USAJOBS - Resumes,14
usajobs.gov/getjob/viewdetails/429517800,USAJOBS - Search Jobs,14
uscis.gov/citizenship/learners/study-test/study-materials-civics-test,Study Materials for the Civics Test | USCIS,14
uscis.gov/citizenship/other-languages/korean-resources,Korean Resources | USCIS,14
uscis.gov/g-325a,Biographic Information | USCIS,14
uscis.gov/green-card/green-card-processes-and-procedures/affidavit-support,Affidavit of Support | USCIS,14
uscis.gov/i-129,Petition for a Nonimmigrant Worker | USCIS,14
uscis.gov/i-693,Report of Medical Examination and Vaccination Record | USCIS,14
usitc.gov/2015_htsa_basic_edition.htm,2015 HTSA Basic Edition | USITC,14
usmint.gov/,The United States Mint,14
va.gov/health/,Veterans Health Administration,14
weather.gov/dtx/,"Detroit/Pontiac, MI",14
weather.gov/fgf/,"Grand Forks, ND",14
weather.gov/oax/,"Omaha/Valley, NE",14
whitehouse.gov/1600/legislative-branch,The Legislative Branch | whitehouse.gov,14
wrh.noaa.gov/eka/,National Weather Service - NWS Eureka,14
wrh.noaa.gov/mfr/,National Weather Service - NWS Medford,14
1010ez.med.va.gov/,Apply For Your VA Health Benefits or Update Your Information - Veterans Health Administration,13
aloha.gsa.gov/,ALOHA home page | GSA ALOHA,13
apps.irs.gov/app/fatcaffilist/flu.jsf,Fatca Lookup Search Page,13
apps.irs.gov/app/picklist/list/formspublications.html?indexoffirstrow=300&sortcolumn=sortorder&value=&criteria=&resultsperpage=25&isdescending=false,Forms and Publications (PDF),13
apps.irs.gov/app/scripts/exit.jsp?dest=https://payusatax.com/,IRS Disclaimer,13
archives.gov/news/federal-holidays.html,2016 Federal Holidays,13
careers.state.gov/work/foreign-service/specialist/career-track-quiz/elo?source=govdelivery,English Language Officer - U.S. Department of State,13
cbp.gov/travel/international-visitors/esta,Electronic System for Travel Authorization | U.S. Customs and Border Protection,13
cbp.gov/travel/trusted-traveler-programs/sentri,Secure Electronic Network for Travelers Rapid Inspection | U.S. Customs and Border Protection,13
cdc.gov/dengue/,CDC - Dengue,13
cdc.gov/spanish/especialescdc/escarlatina/,Escarlatina: una infecciÃ_n estreptocÃ_cica del grupo A - Especiales CDC - CDC en EspaÃ±ol,13
cdc.gov/std/chlamydia/stdfact-chlamydia-detailed.htm,Detailed STD Facts - Chlamydia,13
cdc.gov/std/hpv/pap/default.htm,Making Sense of Your Pap & HPV Test Results,13
cdc.gov/std/spanish/tricomoniasis/stdfact-trichomoniasis-s.htm,Tricomoniasis - Enfermedades de transmisiÃ_n sexual,13
cdc.gov/vaccines/,Vaccines: HOME page for Vaccines and Immunizations site,13
cdc.gov/vaccines/hcp/vis/index.html,Vaccine Information Statement | Home | VIS | CDC,13
cdc.gov/vaccines/schedules/hcp/adult.html,Adult Immunization Schedules and Tools for Providers | CDC,13
cdc.gov/vaccines/schedules/hcp/imz/child-adolescent.html,Birth-18 Years Immunization Schedule | CDC,13
ceac.state.gov/genniv/common/sessiontimedout.aspx?cul=en-us,Consular Electronic Application Center - Session Timed Out,13
ceac.state.gov/genniv/general/review/review_reviewuscontact.aspx?node=reviewuscontact,Nonimmigrant Visa - Review US Contact Information,13
ceac.state.gov/ivapp/common/sessiontimedout.aspx,Consular Electronic Application Center - Session Timed Out,13
ceac.state.gov/ivapp/ivapp/complete/complete_contact2.aspx?node=addressphone2,Immigrant Visa - Mailing and Permanent Address Information,13
climate.gov/enso,El NiÃ±o & La NiÃ±a (El NiÃ±o-Southern Oscillation) | NOAA Climate.gov,13
consumer.ftc.gov/topics/kids-online-safety,Kids' Online Safety | Consumer Information,13
consumerfinance.gov/regulations/,Regulations > Consumer Financial Protection Bureau,13
cpsc.gov/,CPSC Home | CPSC.gov,13
dea.gov/druginfo/ds.shtml,DEA / Drug Scheduling,13
dhs.gov/how-do-i/apply-us-passport,Apply for a U.S. Passport | Homeland Security,13
e-verify.uscis.gov/emp/verify.aspx,E-Verify - Initial Verification - List B & C Documents,13
eauth.va.gov/ebenefits/vonapp,Veteran On-Line Application (VONAPP) - eBenefits,13
epa.gov/bedbugs/do-it-yourself-bed-bug-control,Do-it-yourself Bed Bug Control | Bed Bugs: Get Them Out and Keep Them Out | US EPA,13
eric.ed.gov/,ERIC - Education Resources Information Center,13
espanol.cdc.gov/enes/flu/professionals/acip/clinical.htm,Signos y sÃ_ntomas clÃ_nicos de la influenza | Profesionales de la salud | Influenza estacional (gripe),13
faa.gov/uas/legislative_programs/section_333/333_authorizations/,Authorizations Granted Via Section 333 Exemptions,13
faq.ssa.gov/link/portal/34011/34019/article/3831/must-i-pay-taxes-on-social-security-benefits,Must I pay taxes on Social Security benefits?,13
find.irs.gov/search?utf8=?&affiliate=irs-fp&commit=search,1040A - IRS Current Forms & Publications Search Search Results,13
findahealthcenter.hrsa.gov/,Find a Health Center,13
forecast.weather.gov/mapclick.php,7-Day Forecast for Latitude 41.58Â°N and Longitude 93.63Â°W,13
forecast.weather.gov/mapclick.php,7-Day Forecast for Latitude 43.62Â°N and Longitude 116.22Â°W (Elev. 2710 ft),13
irs.gov/help-&-resources/tools-&-faqs/faqs-for-individuals/frequently-asked-tax-questions-&-answers/irs-procedures/refund-inquiries/refund-inquiries-18,Refund Inquiries,13
irs.gov/individuals/aotc,American Opportunity Tax Credit,13
irs.gov/individuals/education-credits:-questions-and-answers,Education Credits: Questions and Answers,13
irs.gov/publications/p970/ch03.html,"Publication 970 (2015), Tax Benefits for Education",13
"irs.gov/retirement-plans/plan-participant,-employee/required-minimum-distribution-worksheets",Required Minimum Distribution Worksheets,13
irs.gov/tax-professionals/e-file-providers-&-partners/filing-information-returns-electronically-(fire),Filing Information Returns Electronically (FIRE),13
irs.gov/taxtopics/tc701.html,Tax Topics - Topic 701 Sale of Your Home,13
irs.gov/uac/about-form-w4,"Form W-4, Employee's Withholding Allowance Certificate",13
irs.gov/uac/about-form-w7,"Form W-7, Application for IRS Individual Taxpayer Identification Number",13
irs.gov/uac/contact-my-local-office-in-north-carolina,Contact My Local Office in North Carolina,13
irs.gov/uac/eight-tips-for-deducting-charitable-contributions,Eight Tips for Deducting Charitable Contributions,13
"irs.gov/uac/form-5695,-residential-energy-credits","Form 5695, Residential Energy Credits",13
irs.gov/uac/newsroom/scam-phone-calls-continue,Scam Phone Calls Continue; IRS Identifies Five Easy Ways to Spot Suspicious Calls,13
irs.gov/uac/what-is-my-filing-status,What Is My Filing Status?,13
irs.gov/uac/where-to-file-tax-returns-addresses-listed-by-return-type,Where to File Tax Returns - Addresses Listed by Return Type,13
justice.gov/vpv404/error/http://www.justice.gov/cgi-bin/outside.cgi?https://www.usajobs.gov/studentsandgrads=,Page not found | DOJ | Department of Justice,13
locator.ice.gov/odls/searchbyaliennumber.do,Online Detainee Locator System,13
moneyfactorystore.gov/2016intaglioprintsubscriptionprogram.aspx,2016 Intaglio Print Subscription Program - Independence Collection,13
